time_sec,RMSE,crps_norm,coverage90,sigma_u,l_u,tau_u,sigma_S,l_S,tau_S,sigma_tau,l_v,sigma_v,tau_v
57600.0,0.039782552800912294,0.021818583919126708,0.8408,0.09381119648856731,30348.94791230531,0.020026770373329502,4.121516527834705e-07,77739.41120751528,1.3183868350822283e-08,0.00010649906618118488,30348.94791230531,0.09381119648856731,0.020026770373329502
61200.0,0.04164503054037881,0.022933976232798487,0.8428,0.09480480378235173,26800.874964584506,0.019158178770798492,4.2691497516509747e-07,72134.45205020107,1.2726094148606143e-08,9.963523953785722e-05,26800.874964584506,0.09480480378235173,0.019158178770798492
64800.0,0.04596852639586684,0.025313104511034492,0.8426,0.09417816762377763,23137.256079379993,0.01970944853022128,4.112212476716306e-07,59724.58626998084,9.712041450401388e-09,6.643654371562213e-05,23137.256079379993,0.09417816762377763,0.01970944853022128
68400.0,0.04845719080071378,0.02672471459098149,0.837,0.09133748454076136,22143.890563829053,0.02047165915585728,3.6853978293767637e-07,52732.32572154499,9.203283029411352e-09,8.64964366725963e-05,22143.890563829053,0.09133748454076136,0.02047165915585728
72000.0,0.05073496463412045,0.02803761350958183,0.8412,0.09115244145566127,23473.41620596033,0.021154897110104005,3.203783495267586e-07,41687.41826232207,1.1438236259583215e-08,0.00011582388191635558,23473.41620596033,0.09115244145566127,0.021154897110104005
75600.0,0.05269331747782467,0.029288720898918267,0.8388,0.08848953947535002,21166.57706415438,0.020429143654751236,2.7721477745722886e-07,35207.85633174799,1.0781816345603858e-08,0.0001092624909461345,21166.57706415438,0.08848953947535002,0.020429143654751236
79200.0,0.05027689519718796,0.028015755753521297,0.8282,0.08925523410189526,23360.218037235674,0.0195414233032162,2.167219654392414e-07,31450.340805900072,1.3377527967689507e-08,0.00012463020106962263,23360.218037235674,0.08925523410189526,0.0195414233032162
82800.0,0.047584993045339835,0.02663407091117101,0.828,0.09475739961253558,26343.060673164055,0.01802029897180817,1.8287418994407785e-07,28612.012690706528,1.6594662593139178e-08,0.0001299367612035183,26343.060673164055,0.09475739961253558,0.01802029897180817
86400.0,0.049221832137516595,0.02791446504957914,0.8354,0.09990774795244511,24956.983616371086,0.01568108448518605,2.036021109311255e-07,25323.441486373144,1.778377538400503e-08,0.00013681524407311993,24956.983616371086,0.09990774795244511,0.01568108448518605
90000.0,0.0502217282214491,0.028196726392793574,0.849,0.1004147436662547,24033.625811070342,0.014475870310149434,1.883300364134057e-07,21596.029224173955,1.9807369516783402e-08,0.00015730706627638393,24033.625811070342,0.1004147436662547,0.014475870310149434
93600.0,0.04844159296712443,0.02675866012130196,0.8574,0.0926351955837423,21474.072629513445,0.016823427650676598,1.4619910370159514e-07,21884.07684622534,1.732048579404384e-08,0.00012993732487750698,21474.072629513445,0.0926351955837423,0.016823427650676598
97200.0,0.048029157616113455,0.026556226302703014,0.8568,0.08578301768964003,16882.440959631094,0.017720404411595166,1.3767053908128055e-07,22667.027634404072,8.031808388210137e-09,7.642411261115663e-05,16882.440959631094,0.08578301768964003,0.017720404411595166
100800.0,0.04729701015483597,0.02646288058184773,0.8488,0.08785895030587368,19921.102209608347,0.020246267446549775,1.5015702899234005e-07,22769.13262097232,4.709690517424642e-09,4.740661096138578e-05,19921.102209608347,0.08785895030587368,0.020246267446549775
104400.0,0.04945226057741417,0.02761976756669514,0.8542,0.09165137694336445,19118.88171796271,0.01814579768848654,1.721364237797882e-07,21854.416518541748,2.805851277263028e-10,4.066369952953974e-06,19118.88171796271,0.09165137694336445,0.01814579768848654
108000.0,0.05025151927906839,0.027986016263822022,0.8634,0.0918184420825812,17002.442583961034,0.015212930845490297,1.74610998601549e-07,21182.163733874986,6.796639805471225e-11,1.4853037261341494e-06,17002.442583961034,0.0918184420825812,0.015212930845490297
111600.0,0.05071053121299435,0.02820078259635343,0.854,0.09132064637378032,17734.01501247912,0.015618667527682407,1.5576075698980922e-07,19968.640044019045,1.1800371979173087e-09,8.3319059775292e-06,17734.01501247912,0.09132064637378032,0.015618667527682407
115200.0,0.05238418741670637,0.028918884668754856,0.8454,0.09059474804181016,17640.676791736747,0.01617220490348514,1.5247310323040553e-07,20930.49231695465,6.243341901773644e-09,4.9895427250724894e-05,17640.676791736747,0.09059474804181016,0.01617220490348514
118800.0,0.05374236595976004,0.029422755648751023,0.8424,0.08687088517488842,16071.049380766743,0.015261518233549118,1.5831255034688506e-07,24064.761140470568,9.785657106102076e-09,8.119266551999873e-05,16071.049380766743,0.08687088517488842,0.015261518233549118
122400.0,0.053542545307079435,0.029227989172051765,0.8396,0.08557056128723219,16189.959388481275,0.015651810411465395,1.5298656186169531e-07,23288.742026421976,9.693443675320235e-09,9.144580351348233e-05,16189.959388481275,0.08557056128723219,0.015651810411465395
126000.0,0.049177369121742705,0.02713300934333133,0.8452,0.08534819081599626,18019.829067043298,0.016694305274582044,1.3798782244605734e-07,20210.439383140503,1.2352300313334514e-08,0.00011212382800176371,18019.829067043298,0.08534819081599626,0.016694305274582044
129600.0,0.04794923323900873,0.026904357666368135,0.8386,0.08477347539756837,17096.61984135376,0.016081194076692285,1.1422401194156608e-07,17168.699621511034,1.1794689905358123e-08,9.962156463304209e-05,17096.61984135376,0.08477347539756837,0.016081194076692285
133200.0,0.04709449236373754,0.02636019219306627,0.8394,0.083260465580055,17737.28894647444,0.017902085927811413,1.0059193345795437e-07,18639.869073563466,1.1507484980195457e-08,9.73116266688024e-05,17737.28894647444,0.083260465580055,0.017902085927811413
136800.0,0.04462630855341436,0.024504990657460656,0.831,0.08294385440103155,21643.836788722798,0.021162799703729387,9.58219277029661e-08,22161.463518875487,1.0203088552433514e-08,5.1173388890939375e-05,21643.836788722798,0.08294385440103155,0.021162799703729387
140400.0,0.0435458438323318,0.023877786862175527,0.8444,0.0814066881877297,20413.816946643194,0.022107643103280495,1.099224314410982e-07,24373.92742168497,5.550151008551501e-11,5.644481328925245e-07,20413.816946643194,0.0814066881877297,0.022107643103280495
144000.0,0.04091878069981068,0.022740810901511394,0.8452,0.08373770454289498,24646.646038934876,0.023440916722068446,1.3659153906652184e-07,28264.0797253118,1.0728302787336155e-10,1.1166295237434852e-06,24646.646038934876,0.08373770454289498,0.023440916722068446
147600.0,0.04026003434154645,0.022585595017029815,0.8534,0.08565539954531114,25396.085496909298,0.021606081086124287,1.655604895473101e-07,30238.79112634735,6.484713851580582e-09,4.754838150672596e-05,25396.085496909298,0.08565539954531114,0.021606081086124287
151200.0,0.04477238249817039,0.024750623821472202,0.8536,0.0858236360457495,19342.980795699044,0.01857136487498079,1.886246344231398e-07,31670.518479300466,4.849585060254545e-09,4.437960277864956e-05,19342.980795699044,0.0858236360457495,0.01857136487498079
154800.0,0.049283934794650486,0.027049932169615327,0.837,0.08511019077838233,17459.659942501592,0.01748088916903539,2.014386813387156e-07,30785.214072457027,1.9287791827619955e-09,1.7969384804748975e-05,17459.659942501592,0.08511019077838233,0.01748088916903539
158400.0,0.04962030729424638,0.027289965476205793,0.8294,0.08510378391489799,20067.767164482626,0.019933474758336896,1.970943582888259e-07,30258.057748068986,1.009731492604163e-10,1.449565269002067e-06,20067.767164482626,0.08510378391489799,0.019933474758336896
162000.0,0.04830715797758718,0.026608867905532088,0.8222,0.0835168970019436,21367.287141626035,0.021139594227156385,1.9831701518585032e-07,31940.071385158495,1.6019469518035605e-10,7.451356651651518e-07,21367.287141626035,0.0835168970019436,0.021139594227156385
165600.0,0.04857146113715964,0.02697052532639401,0.8272,0.08319107814283928,19619.016200523092,0.019322235286788846,2.1678164923492119e-07,33408.04350599531,7.622246482727595e-09,5.736797628808385e-05,19619.016200523092,0.08319107814283928,0.019322235286788846
169200.0,0.04828877119411459,0.027122254126638337,0.8412,0.08752543043766683,19199.7529740586,0.017179824279587575,2.3116883622203916e-07,33820.758736305914,1.2056131948395756e-08,0.00010630212922153531,19199.7529740586,0.08752543043766683,0.017179824279587575
172800.0,0.05250073651791314,0.029776120199479568,0.8486,0.09118791687904328,17346.969795257708,0.015403433752649649,2.1629716347042e-07,26575.418310305744,1.4099523903149779e-08,0.00010900381469539985,17346.969795257708,0.09118791687904328,0.015403433752649649
