coverage_sparse,RMSE,crps_norm,coverage90,sigma_u,l_u,tau_u,sigma_S,l_S,tau_S,sigma_tau,l_v,sigma_v,tau_v
0.3,0.06763923871528683,0.03821500331038468,0.7726,0.07269043835531434,15341.709025007993,0.01207637037678987,1.798371684034057e-07,23296.493038172794,2.4356151641739542e-08,0.00021737291975550973,15341.709025007993,0.07269043835531434,0.01207637037678987
0.32999999999999996,0.06407268497808975,0.0361134857158964,0.795,0.07599287257537851,15950.374706193068,0.011852931999660171,1.6642907774798346e-07,21823.45976541032,2.0574757569581984e-08,0.00016273471174773062,15950.374706193068,0.07599287257537851,0.011852931999660171
0.36,0.07369485242337057,0.04111370748737208,0.8116,0.07442314566102146,11368.106135048314,0.010398221553292064,1.8662344367252448e-07,20128.698061316176,2.4335903402540708e-11,1.4030259032203852e-07,11368.106135048314,0.07442314566102146,0.010398221553292064
0.39,0.07293519014689136,0.04065770440739075,0.804,0.07328243762895462,11872.829774874095,0.01090064902460661,1.7734720828413788e-07,20561.20687643289,7.239206453821163e-11,7.955177602904691e-07,11872.829774874095,0.07328243762895462,0.01090064902460661
0.42,0.07486612984616825,0.041955028899257764,0.8002,0.07849657200701457,13736.455595578765,0.010615089582334907,1.6748904321159785e-07,19249.464415554754,4.321002485365485e-09,1.762737431175811e-05,13736.455595578765,0.07849657200701457,0.010615089582334907
0.44999999999999996,0.06393850126567224,0.03627549897152853,0.7928,0.07700661881674914,18970.444794477015,0.011465199263384665,1.4910921420826012e-07,22056.66885582153,3.117993401405148e-08,0.00017522916253826933,18970.444794477015,0.07700661881674914,0.011465199263384665
0.48,0.06858150751739432,0.03837014885972607,0.8018,0.07274665435909416,17236.907868036655,0.010930513359188212,1.5245853042308466e-07,15040.747746507117,2.287849533058058e-08,0.00016494019810450297,17236.907868036655,0.07274665435909416,0.010930513359188212
0.51,0.06949081756007403,0.03843456772288734,0.8336,0.08458141116723795,24708.550766020693,0.010640248088138737,1.6889543229181382e-07,19343.851765618856,6.200333572889448e-08,0.00022984812918425485,24708.550766020693,0.08458141116723795,0.010640248088138737
0.54,0.07468844188274475,0.042231885729479245,0.8406,0.07889435900684182,13115.623133483568,0.01053099034170975,1.5155673783739994e-07,18715.766691589542,1.8575083334630843e-10,1.3231851453859415e-07,13115.623133483568,0.07889435900684182,0.01053099034170975
0.57,0.07447111350232824,0.04061888141508992,0.871,0.08820285108822298,18874.056136016185,0.01025382643225782,1.3421916376949063e-07,18910.449666472312,5.1115587249579214e-08,0.0001483614040489644,18874.056136016185,0.08820285108822298,0.01025382643225782
0.6,0.0709622669486375,0.03979038476212807,0.9016,0.09041335168331344,17488.564350829543,0.010379177635374397,1.2156408780562965e-07,26578.726131863656,8.164550988443178e-08,0.00024260277993452782,17488.564350829543,0.09041335168331344,0.010379177635374397
0.63,0.0770354773118645,0.04327822039694408,0.8898,0.09709710254580019,18980.303107817977,0.010261378230318825,1.8906675155547084e-07,19297.61445899775,6.281873301398414e-11,8.560084265702842e-07,18980.303107817977,0.09709710254580019,0.010261378230318825
0.6599999999999999,0.08840485206313119,0.049818354056026457,0.8754,0.08837799289875709,12040.679767942183,0.010100884744905688,2.160837712877758e-07,26339.64023084827,1.0874871263974557e-11,9.363796181872852e-07,12040.679767942183,0.08837799289875709,0.010100884744905688
0.69,0.08906324644961751,0.049238621846691796,0.8442,0.08724619618126914,21323.833295549775,0.010140947304645891,1.4492915227876226e-07,39671.305771384854,5.781524582967129e-08,3.7509842637143587e-06,21323.833295549775,0.08724619618126914,0.010140947304645891
0.72,0.07699876466894043,0.04317930722755903,0.8356,0.07987003007047139,28489.13136130438,0.010004277747400822,5.296453863192695e-08,24162.56720118906,1.2337353679139984e-07,9.317055567948968e-07,28489.13136130438,0.07987003007047139,0.010004277747400822
0.75,0.08422466700028117,0.04747562365682428,0.8832,0.08688564471176669,25021.169648848103,0.01008075725265762,1.520497046730393e-07,24714.486068281374,7.94292736300116e-08,2.0530419310638867e-07,25021.169648848103,0.08688564471176669,0.01008075725265762
