coverage_dense,RMSE,crps_norm,coverage90,sigma_u,l_u,tau_u,sigma_S,l_S,tau_S,sigma_tau,l_v,sigma_v,tau_v
0.3,0.07034946241036137,0.03753474462015942,0.8434,0.08260209178866897,15276.518348864282,0.014118304764839253,1.5516120867457122e-07,19506.082470931196,9.125267962978609e-09,6.580083828879263e-05,15276.518348864282,0.08260209178866897,0.014118304764839253
0.32999999999999996,0.07299139258637011,0.03865865175405793,0.8338,0.08119466359706051,14589.302386449193,0.013888396206253689,1.5152794940452817e-07,20739.18094139461,9.218190791064894e-09,7.134438729983084e-05,14589.302386449193,0.08119466359706051,0.013888396206253689
0.36,0.07498980548387789,0.039747677775769714,0.8298,0.08018429791231362,14113.57948755677,0.013690276558567218,1.5368260867580558e-07,20997.18948438788,8.118012340571317e-09,5.41709006233726e-05,14113.57948755677,0.08018429791231362,0.013690276558567218
0.39,0.07499989145434086,0.03985296850215841,0.8336,0.08009188387698976,13861.190076679379,0.013671545807812517,1.5038757642055483e-07,21329.893956574757,6.237674638160513e-09,4.277628656128033e-05,13861.190076679379,0.08009188387698976,0.013671545807812517
0.42,0.07767719223392701,0.04158606250315744,0.824,0.07979766767555994,13794.166992595932,0.013619896429258028,1.5354512666899816e-07,20742.975050838482,7.803824806124656e-09,5.2183713786351116e-05,13794.166992595932,0.07979766767555994,0.013619896429258028
0.44999999999999996,0.07759793207764723,0.04149945342214947,0.8346,0.08079384945269491,13393.21780277957,0.013046891108859262,1.5664154666834034e-07,21429.850033574316,7.621875825895914e-09,5.373386785656103e-05,13393.21780277957,0.08079384945269491,0.013046891108859262
0.48,0.07803583570870803,0.041925380481833655,0.8376,0.08124665640578742,12662.940171547925,0.012432944455588103,1.5982707462485975e-07,21968.46564931375,5.915404056450526e-09,3.4855162106887807e-05,12662.940171547925,0.08124665640578742,0.012432944455588103
0.51,0.07809976574620989,0.04206472863257405,0.8468,0.08291663856762281,12752.417563369208,0.012372885174850039,1.5717678289957504e-07,21339.83793121898,8.395993772104173e-09,5.0108173545108035e-05,12752.417563369208,0.08291663856762281,0.012372885174850039
0.54,0.08003494869792259,0.04333381376318122,0.838,0.08248195408790408,12345.099582564544,0.012045996559242511,1.5618827230459752e-07,22236.747243938724,7.646576302043693e-09,5.2220657110657254e-05,12345.099582564544,0.08248195408790408,0.012045996559242511
0.57,0.08092907692846543,0.044047375738433626,0.8414,0.08270962680752088,12019.743420043173,0.011787933543853253,1.5809256477276011e-07,22195.13755016158,6.14634332876395e-09,3.765896267477959e-05,12019.743420043173,0.08270962680752088,0.011787933543853253
0.6,0.08151631230283649,0.04434169473393507,0.8428,0.08154652655872056,11978.671252582051,0.011779541643292223,1.6716584227359128e-07,23033.863381367697,7.730559403791361e-09,3.340743589486669e-05,11978.671252582051,0.08154652655872056,0.011779541643292223
0.63,0.08229295954977464,0.04472354721621499,0.8478,0.08164529309964035,11722.20644164103,0.011657448128299787,1.6304918150158198e-07,21308.60628977924,6.786594406827076e-09,3.7394540826155515e-05,11722.20644164103,0.08164529309964035,0.011657448128299787
0.6599999999999999,0.08327936837978463,0.045522929848064865,0.8458,0.08156209312282016,12310.872035458697,0.011658322452791454,1.4739324302873873e-07,20197.735554933774,2.4730517698788606e-08,0.000109100502862282,12310.872035458697,0.08156209312282016,0.011658322452791454
0.69,0.08378309576922416,0.04598109308306873,0.8528,0.08147241043343978,11387.772408380297,0.011161437026922301,1.469792311906416e-07,17580.468833188243,6.093412422676347e-11,2.195223779400122e-07,11387.772408380297,0.08147241043343978,0.011161437026922301
0.72,0.08490745755686653,0.04660475484388837,0.8532,0.08116073674125346,11408.789029415435,0.010984802259073915,1.4551019616649135e-07,17351.77456146418,9.156908601616094e-11,3.1901273459559917e-07,11408.789029415435,0.08116073674125346,0.010984802259073915
0.75,0.0848291139369803,0.046742652834746636,0.8698,0.08509321806596015,12070.954228276172,0.010699580462273657,1.5856846723198149e-07,19917.083878465415,2.2772625385366273e-11,3.126933995311411e-07,12070.954228276172,0.08509321806596015,0.010699580462273657
