time_sec,RMSE,crps_norm,coverage90,sigma_u,l_u,tau_u,sigma_S,l_S,tau_S,sigma_tau,l_v,sigma_v,tau_v
50400.0,0.04205886826564735,0.023302008105640214,0.847,0.0954638171610642,27621.951788109043,0.020096248466720104,3.390388110445846e-07,59765.94471746972,1.553662213904021e-08,0.00012780989164311126,27621.951788109043,0.0954638171610642,0.020096248466720104
54000.0,0.03997846729077434,0.021850751572445638,0.8582,0.09343925484136582,30014.21889279715,0.02180770608364487,3.887990921317021e-07,71118.90419388209,1.2197925918788412e-08,0.00010326490725386167,30014.21889279715,0.09343925484136582,0.02180770608364487
57600.0,0.03978252986395266,0.02181857089476225,0.8408,0.09381138756181578,30349.116959743642,0.020026727659900906,4.1213896125741434e-07,77737.9474248416,1.3183014457537526e-08,0.0001065028368922102,30349.116959743642,0.09381138756181578,0.020026727659900906
61200.0,0.0416452097664092,0.02293401007292527,0.8428,0.09480075656717737,26800.333099861346,0.019159974360326952,4.2675608814936234e-07,72122.47027895684,1.272749114799495e-08,9.960790722454487e-05,26800.333099861346,0.09480075656717737,0.019159974360326952
64800.0,0.04596783338304,0.025312738478787362,0.8426,0.09418573710638993,23138.446134443864,0.01970876623196235,4.1115785530332614e-07,59721.26243202219,9.721175354882664e-09,6.646253282801213e-05,23138.446134443864,0.09418573710638993,0.01970876623196235
68400.0,0.04845740668602709,0.026724827855249617,0.837,0.09133599949776952,22143.364021292586,0.02047160912725569,3.6851079857580844e-07,52728.2504800434,9.203136431724825e-09,8.648993254229946e-05,22143.364021292586,0.09133599949776952,0.02047160912725569
72000.0,0.05073503675934142,0.028037653329039836,0.8412,0.09114946873767447,23472.932335173067,0.02115494348236356,3.2037405215598645e-07,41685.808220426574,1.1436840026627996e-08,0.00011581997803871463,23472.932335173067,0.09114946873767447,0.02115494348236356
75600.0,0.05269338820356811,0.02928875698469219,0.8388,0.08848932782456485,21166.366536339625,0.020429078956215273,2.7721167556074764e-07,35207.38970105807,1.0780636822968131e-08,0.00010926289676413598,21166.366536339625,0.08848932782456485,0.020429078956215273
79200.0,0.050276841443528786,0.028015725430806264,0.8282,0.08925401431889693,23359.976485056915,0.019541394622263324,2.167207232184434e-07,31450.37489837673,1.3377892336321121e-08,0.0001246307671115796,23359.976485056915,0.08925401431889693,0.019541394622263324
82800.0,0.04758498886587028,0.026634068161304158,0.828,0.09475727873757944,26342.99922773749,0.018020296660351563,1.8287420649386672e-07,28611.95829624533,1.659562182338698e-08,0.00012993364804127647,26342.99922773749,0.09475727873757944,0.018020296660351563
86400.0,0.04922181276917175,0.027914450237531765,0.8354,0.0999074982692139,24956.892473306834,0.015681025096414124,2.0359829751823213e-07,25323.021786953443,1.778387007832267e-08,0.00013681448381120483,24956.892473306834,0.0999074982692139,0.015681025096414124
