coverage_dense,RMSE,crps_norm,coverage90,sigma_u,l_u,tau_u,sigma_S,l_S,tau_S,sigma_tau,l_v,sigma_v,tau_v
0.39,0.07500003626589709,0.039853061899203485,0.8336,0.08009171622308915,13860.92960854519,0.013671197979921317,1.5038618060614885e-07,21330.064694918812,6.238139983926893e-09,4.277320744923235e-05,13860.92960854519,0.08009171622308915,0.013671197979921317
0.42,0.07767714106099914,0.041586001390606336,0.824,0.07979797802876419,13794.338013274744,0.013620013598257364,1.5354738874540792e-07,20743.764069884215,7.805712845164477e-09,5.2197083651100995e-05,13794.338013274744,0.07979797802876419,0.013620013598257364
0.45,0.07759797627887484,0.04149951717081072,0.8346,0.08079362232572772,13393.048038898074,0.013046969800935226,1.5663858107548413e-07,21428.9608437733,7.61783941313128e-09,5.370968214449466e-05,13393.048038898074,0.08079362232572772,0.013046969800935226
0.48,0.07803591804744153,0.04192544075330487,0.8376,0.08124641945386281,12662.705168290317,0.012432737710300588,1.5982740766629773e-07,21968.332851541294,5.915244338341757e-09,3.4856663286128055e-05,12662.705168290317,0.08124641945386281,0.012432737710300588
0.51,0.07809985017530299,0.042064806468607274,0.8468,0.08291593225445072,12752.257295897258,0.012372849292014173,1.571791041103463e-07,21339.734961521808,8.393342343626828e-09,5.009001842870763e-05,12752.257295897258,0.08291593225445072,0.012372849292014173
0.54,0.08003474401886451,0.043333673440557254,0.838,0.08248102369558376,12345.576370235656,0.012046469003319476,1.5618288261580903e-07,22235.798299449547,7.650317838390588e-09,5.224443638999683e-05,12345.576370235656,0.08248102369558376,0.012046469003319476
0.57,0.08092924760059378,0.04404750854355776,0.8414,0.08271017307547303,12019.635819693176,0.011788055227313486,1.5810047475309235e-07,22195.348413347972,6.138776106727632e-09,3.761093389336643e-05,12019.635819693176,0.08271017307547303,0.011788055227313486
0.6,0.08151632623660916,0.04434170618191831,0.8428,0.08154690949868179,11978.641009990217,0.011779817597473001,1.671695503649777e-07,23034.076361629875,7.72712494418337e-09,3.339231612732721e-05,11978.641009990217,0.08154690949868179,0.011779817597473001
0.63,0.08229297870981057,0.044723572512191674,0.8478,0.0816453172301712,11722.09847410692,0.011657427222394452,1.6304886319990115e-07,21308.28453676273,6.781181886449096e-09,3.7369219605178274e-05,11722.09847410692,0.0816453172301712,0.011657427222394452
0.66,0.08327874657801995,0.045522625498533725,0.8458,0.08155641786568862,12312.310977142834,0.011658172606909826,1.474580900205789e-07,20209.815424427175,2.4737083818510203e-08,0.0001091302595220673,12312.310977142834,0.08155641786568862,0.011658172606909826
0.69,0.08378364448669119,0.04598138875258534,0.853,0.08147404885130936,11386.214089000776,0.011163418378242728,1.4698575608066997e-07,17587.39847729577,1.7441144120348198e-10,6.598893921205838e-07,11386.214089000776,0.08147404885130936,0.011163418378242728
0.72,0.08490708610499492,0.046604633048598416,0.8532,0.08114972377768084,11410.042067676068,0.010993869890051163,1.4555688923522661e-07,17351.148559265002,1.1211603019020701e-10,3.9040491436131285e-07,11410.042067676068,0.08114972377768084,0.010993869890051163
0.75,0.08482862170537271,0.04674233535780446,0.8698,0.08510376540741249,12072.996615663664,0.010699526528278328,1.585234583965262e-07,19906.938670628937,2.9465072555167685e-11,3.851937977701726e-07,12072.996615663664,0.08510376540741249,0.010699526528278328
